barcode;productid;name;storeId;mccprice;mccpricesymbol;pricewithextravalue;pricewithextravaluesymbol;onsale;onstock;stockamount;mediumimageurl;unitformat;hasmigroskop;hasdiscount;company;
8690575052416;146461;TAMEK YAPRAK SARMA 1/5 KG;179;0.0;TL;1.73;TL;true;false;-1.0;http://images1.sanalmarket.com.tr/images/1000/urun/medium/09060222.jpg;Ad;false;false;false;
8690570522730;511200;AIR WICK DECOSPHERE HAVA TAZELEYİCİ MANGO İKİLİ FIRSAT PAKETİ;179;0.0;TL;18.9;TL;true;true;-1.0;http://images3.sanalmarket.com.tr/images/1000/urun/medium/31501016.jpg;Ad;false;false;false;
8697413900045;290453;YÖRÜK SOSİS 260 G;179;0.0;TL;2.75;TL;true;false;-1.0;http://images3.sanalmarket.com.tr/images/missing.gif;Ad;false;false;false;
8690607080608;107184;KOMİLİ CAPRICE 400 GR;179;0.0;TL;1.49;TL;true;false;-1.0;http://images1.sanalmarket.com.tr/images/1000/urun/medium/29357450.jpg;Ad;false;false;false;
8002110312464;105230;CAREFREE MİNİ PED COMFORT 20 ADET;179;0.0;TL;1.9;TL;true;false;-1.0;http://images3.sanalmarket.com.tr/images/1000/urun/medium/31112045.jpg;Ad;false;false;false;
8690742100407;190220;CANBEBE STANDART MAXİ 7-18 KG 10 PED;179;0.0;TL;2.89;TL;true;false;-1.0;http://images1.sanalmarket.com.tr/images/1000/urun/medium/31100412.jpg;Ad;false;false;false;
8690632054308;711367;NESTLE CRUNCH FINDIKLI-FISTIKLI ÇİKOLATA 47 GR;179;0.0;TL;1.45;TL;true;false;-1.0;http://images3.sanalmarket.com.tr/images/1000/urun/medium/07039897.jpg;Ad;false;false;false;
8696027011024;441949;KUHNE ELMA SİRKESİ 250 ML;179;0.0;TL;1.0;TL;true;false;-1.0;http://images1.sanalmarket.com.tr/images/1000/urun/medium/06035039.jpg;Ad;false;false;false;
4030600023662;556577;BIANCA SLIMS SELECTION BLUEO;179;0.0;TL;4.25;TL;true;false;-1.0;http://images2.sanalmarket.com.tr/images/missing.gif;Ad;false;false;false;
8695853006235;103278;ÜLKER MAVİ-YEŞİL LİGHT PİZZA KRAKER KEPEKLİ 150 GR;179;0.0;TL;0.8;TL;true;false;-1.0;http://images1.sanalmarket.com.tr/images/1000/urun/medium/07012106.jpg;Ad;false;false;false;
8697413900052;290426;YÖRÜK SUCUK KANGAL 280 GR;179;0.0;TL;3.65;TL;true;false;-1.0;http://images1.sanalmarket.com.tr/images/missing.gif;Ad;false;false;false;
8690504013303;109681;ÜLKER PÖTİBÖR BİSKÜVİ 1 KG;179;0.0;TL;5.25;TL;true;true;-1.0;http://images2.sanalmarket.com.tr/images/1000/urun/medium/07011020.jpg;Ad;false;false;false;
3838824157511;796649;PALETTE BASIC SAÇ BOYASI 6-68 BRONZ KAHVE;179;0.0;TL;7.9;TL;true;false;-1.0;http://images2.sanalmarket.com.tr/images/1000/urun/medium/35445813.jpg;Ad;false;false;false;
8690994100033;113294;TEKİNLER PEYNİR TATLISI 250GR;179;0.0;TL;0.1;TL;true;false;-1.0;http://images2.sanalmarket.com.tr/images/missing.gif;Ad;false;false;false;
8699501013460;100839;ORGANICS 2.1 SAMPUAN 400GR KURU;179;0.0;TL;5.69;TL;true;false;-1.0;http://images3.sanalmarket.com.tr/images/1000/urun/medium/34291006.jpg;Ad;false;false;false;
8699501013484;105955;ORGANICS 2.1 SAMPUAN 400GR NORMAL;179;0.0;TL;7.59;TL;true;false;-1.0;http://images2.sanalmarket.com.tr/images/1000/urun/medium/34291007.jpg;Ad;false;false;false;
3014260227081;108641;GILLETTE SERIES TIRAŞ KÖPÜĞÜ KORUYUCU 250 ML;179;0.0;TL;5.95;TL;true;true;-1.0;http://images3.sanalmarket.com.tr/images/1000/urun/medium/34110353.jpg;Ad;false;false;false;
1090;111414;BİBER ÇARLİSTON KG;179;0.0;TL;2.29;TL;true;true;-1.0;http://images2.sanalmarket.com.tr/images/1000/urun/medium/28051000.jpg;Kg;false;false;false;
8697947211563;335329;GÜLLÜOĞLU LALİN EKSTRA GELENEKSEL AYVA REÇELİ 380 GR;179;0.0;TL;1.0;TL;true;false;-1.0;http://images3.sanalmarket.com.tr/images/1000/urun/medium/07050062.jpg;Ad;false;false;false;
8697947211570;335401;GÜLLÜOĞLU LALİN EKSTRA GELENEKSEL PORTAKAL REÇELİ 380 GR;179;0.0;TL;1.0;TL;true;false;-1.0;http://images2.sanalmarket.com.tr/images/1000/urun//medium/07050063.jpg;Ad;false;false;false;
8690570522648;254808;AIR WICK FRESHMATİK KİT BAHAR ÇİÇEKLERİ;179;0.0;TL;14.95;TL;true;false;-1.0;http://images1.sanalmarket.com.tr/images/1000/urun/medium/31500135.jpg;Ad;false;false;false;
8690574830411;145531;YEDİGÜN MANDALİNA PET 2 LT.;179;0.0;TL;0.22;TL;true;false;-1.0;http://images1.sanalmarket.com.tr/images/missing.gif;Ad;false;false;false;
8410001106564;148763;S.BRITE PRATİK SÜNGER YEDEK;179;0.0;TL;3.19;TL;true;false;-1.0;http://images1.sanalmarket.com.tr/images/1000/urun/medium/31171116.jpg;Ad;false;false;false;
8690521004254;106399;RINSOMATIK 3 KG EKO AKTIF TEMIZLIK;179;0.0;TL;7.9;TL;true;false;-1.0;http://images1.sanalmarket.com.tr/images/1000/urun/medium/30120564.jpg;Ad;false;false;false;
8697409880214;278545;MİLKA ÇITIR GOFRET FINDIKLI 3LÜ 114 GR;179;0.0;TL;0.81;TL;true;false;-1.0;http://images3.sanalmarket.com.tr/images/missing.gif;Ad;false;false;false;
8690575874711;187865;TAMEK PLUS ANANAS - PORTAKAL 1 L;179;0.0;TL;3.5;TL;true;true;-1.0;http://images2.sanalmarket.com.tr/images/1000/urun/medium/08050039.jpg;Ad;false;false;false;
1083;105810;BEZELYE SULTANİ KG.;179;0.0;TL;4.59;TL;true;false;-1.0;http://images2.sanalmarket.com.tr/images/missing.gif;Kg;false;false;false;
8699501013477;108754;ORGANICS SAMPUAN 200G NORMAL 2.1;179;0.0;TL;0.21;TL;true;false;-1.0;http://images3.sanalmarket.com.tr/images/1000/urun/medium/34281001.jpg;Ad;false;false;false;
8690608411500;108512;PAKSOY KANOLA YAĞI 5 LT.;179;0.0;TL;4.69;TL;true;false;-1.0;http://images2.sanalmarket.com.tr/images/1000/urun/medium/04112504.jpg;Ad;false;false;false;
8690742100308;111262;CANBEBE EKO ÇOCUK BEZİ BÜYÜK 34 ADET;179;0.0;TL;6.99;TL;true;false;-1.0;http://images3.sanalmarket.com.tr/images/1000/urun/medium/31100456.jpg;Ad;false;false;false;
8690575052515;146461;TAMEK YAPRAK SARMA 1/5 KG;179;0.0;TL;1.73;TL;true;false;-1.0;http://images1.sanalmarket.com.tr/images/1000/urun/medium/09060222.jpg;Ad;false;false;false;
8690521004261;110059;RINSO 700 GR.EKO;179;0.0;TL;2.99;TL;true;false;-1.0;http://images1.sanalmarket.com.tr/images/1000/urun/medium/30220521.jpg;Ad;false;false;false;
4005808813803;120773;NIVEA AFTER SHAVE FLUID 3071 100 ML;179;0.0;TL;10.0;TL;true;false;-1.0;http://images3.sanalmarket.com.tr/images/1000/urun/medium/35130402.jpg;Ad;false;false;false;
8690536825165;108771;MOLPED EKO ULTRA KANATLI NORMAL;179;0.0;TL;4.45;TL;true;false;-1.0;http://images2.sanalmarket.com.tr/images/1000/urun/medium/31110275.jpg;Ad;false;false;false;
8693495015530;203636;COLGATE DIS MACUNU 100+50 ML GELISMIS BEYAZLIK;179;0.0;TL;5.15;TL;true;false;-1.0;http://images3.sanalmarket.com.tr/images/missing.gif;Ad;false;false;false;
4056800811908;252347;KOLESTON SET SAÇ BOYASI 3/0 KOYU KAHVE;179;0.0;TL;14.9;TL;true;true;-1.0;http://images3.sanalmarket.com.tr/images/1000/urun/medium/34485102.jpg;Ad;false;false;false;
8690605031459;341407;B.TEAM SİLİKON KLASIK ST YALANACI EMZIK;179;0.0;TL;5.0;TL;true;false;-1.0;http://images1.sanalmarket.com.tr/images/missing.gif;Ad;false;false;false;
8690742100315;157183;CANBEBE SÜPER EKO ÇOCUK BEZİ BÜYÜK 68 PED;179;0.0;TL;13.75;TL;true;false;-1.0;http://images3.sanalmarket.com.tr/images/missing.gif;Ad;false;false;false;
8690515917515;262964;TRİDENT NANE AROMALI ŞEKERSİZ SAKIZ 25 GR;179;0.0;TL;1.4;TL;true;false;-1.0;http://images1.sanalmarket.com.tr/images/1000/urun/medium/07126270.jpg;Ad;false;false;false;
8690504598305;514557;ULKER HERO BABY ORG.130 GR YES.FASULYE;179;0.0;TL;1.0;TL;true;false;-1.0;http://images1.sanalmarket.com.tr/images/missing.gif;Ad;false;false;false;
1076;109255;BEZELYE ARAKA KG;179;0.0;TL;4.49;TL;true;false;-1.0;http://images3.sanalmarket.com.tr/images/1000/urun/medium/28041000.jpg;Kg;false;false;false;
1069;109256;BAMYA KG;179;0.0;TL;11.99;TL;true;false;-1.0;http://images3.sanalmarket.com.tr/images/1000/urun/medium/28030000.jpg;Kg;false;false;false;
8690521004230;109287;RINSOMATIK 6 KG EKO;179;0.0;TL;9.99;TL;true;false;-1.0;http://images3.sanalmarket.com.tr/images/1000/urun/medium/30120567.jpg;Ad;false;false;false;
8690742100322;178838;CANBEBE EKO ÇOCUK BEZI MAXI 30 PED;179;0.0;TL;6.95;TL;true;false;-1.0;http://images3.sanalmarket.com.tr/images/missing.gif;Ad;false;false;false;
7622200189281;108471;JACOBS CAPPUCCINO POŞET 125 GR;179;0.0;TL;4.57;TL;true;false;-1.0;http://images2.sanalmarket.com.tr/images/1000/urun/medium/03252402.jpg;Ad;false;false;false;
8690637069987;556012;YUDUM MISIR YAĞI 1 L;179;0.0;TL;5.7;TL;true;false;-1.0;http://images3.sanalmarket.com.tr/images/1000/urun//medium/04120408.jpg;Ad;false;false;false;
4005808189755;100976;NIVEA VISAGE ARINDIRICI YÜZ TEMİZLEME JELİ 150 ML;179;0.0;TL;17.9;TL;true;true;-1.0;http://images2.sanalmarket.com.tr/images/1000/urun/medium/35410406.jpg;Ad;false;false;false;
8690714213050;100831;DEMKO DOĞRANMIŞ DOMATES 400 GR;179;0.0;TL;3.25;TL;true;true;-1.0;http://images3.sanalmarket.com.tr/images/1000/urun/medium/09012610.jpg;Ad;false;false;false;
8690536825189;148681;MOLPED ULTRA KANATLI UZUN EKO;179;0.0;TL;3.9;TL;true;false;-1.0;http://images2.sanalmarket.com.tr/images/1000/urun/medium/31110277.jpg;Ad;false;false;false;
8690816640006;468206;FERSAN NAR EKŞİLİ SOS 250 ML;179;0.0;TL;4.0;TL;true;false;-1.0;http://images2.sanalmarket.com.tr/images/1000/urun/medium/06035045.jpg;Ad;false;false;false;
8693495405492;148204;FABULOSO 1000 GR. DAG ESINTISI;179;0.0;TL;3.19;TL;true;false;-1.0;http://images3.sanalmarket.com.tr/images/missing.gif;Ad;false;false;false;
8690521030109;148171;VIM ACTIVE 900 GR.;179;0.0;TL;0.21;TL;true;false;-1.0;http://images2.sanalmarket.com.tr/images/1000/urun/medium/30610522.jpg;Ad;false;false;false;
8695876160105;792340;PEYMAN NUTZZ TACCOLU YER FISTIĞI 70 GR;179;0.0;TL;1.5;TL;true;true;-1.0;http://images3.sanalmarket.com.tr/images/1000/urun/medium/08089028.jpg;Ad;false;false;false;
8690843060037;111569;BAHÇIVAN LIGHT BEYAZ PEYNİR 350 GR.;179;0.0;TL;4.49;TL;true;false;-1.0;http://images1.sanalmarket.com.tr/images/1000/urun/medium/10013450.jpg;Ad;false;false;false;
8690742100339;179007;CANBEBE EKO ÇOCUK BEZI MIDI 35 PED;179;0.0;TL;6.95;TL;true;false;-1.0;http://images2.sanalmarket.com.tr/images/missing.gif;Ad;false;false;false;
8690560075314;100581;BAĞDAT HAMUR KABARTMA TOZU 5Lİ 50 GR;179;0.0;TL;0.85;TL;true;false;-1.0;http://images2.sanalmarket.com.tr/images/1000/urun/medium/06061302.jpg;Ad;false;false;false;
8690637563911;679833;KNORR ŞEHRİYELİ VE SEBZELİ BAHAR ÇORBASI 4 KİŞİLİK 85GR;179;0.0;TL;2.4;TL;true;false;-1.0;http://images1.sanalmarket.com.tr/images/1000/urun/medium/05025237.jpg;Ad;false;false;false;
8002720003028;569045;SAVOIARDI VANİLYALI KAKAOLU KEDİ DİLİ 200 GR;179;0.0;TL;5.5;TL;true;true;-1.0;http://images3.sanalmarket.com.tr/images/1000/urun/medium/07160109.jpg;Ad;false;false;false;
8691241001400;112731;YUVA MAYA 4'LÜ 168 GR;179;0.0;TL;1.0;TL;true;false;-1.0;http://images2.sanalmarket.com.tr/images/1000/urun/medium/05044701.jpg;Ad;false;false;false;
8690504079200;179931;ÜLKER DANKEK PÖTİ KAKAOLU 60 GR;179;0.0;TL;0.57;TL;true;false;-1.0;http://images3.sanalmarket.com.tr/images/1000/urun/medium/05096601.jpg;Ad;false;false;false;
8690504132271;797952;ALPELLA RING KAKAOLU 189 GR;179;0.0;TL;1.0;TL;true;false;-1.0;http://images1.sanalmarket.com.tr/images/1000/urun/medium/05096563.jpg;Ad;false;false;false;
8690742100346;179006;CANBEBE EKO ÇOCUK BEZI MINI 40 PED;179;0.0;TL;6.95;TL;true;false;-1.0;http://images2.sanalmarket.com.tr/images/missing.gif;Ad;false;false;false;
8690521004216;109288;RINSOMATIK 6 KG EKO KLORO SISTEM;179;0.0;TL;9.99;TL;true;false;-1.0;http://images3.sanalmarket.com.tr/images/missing.gif;Ad;false;false;false;
